"tenor","detachment","rho","model_protection_leg","model_premium_leg"
1,0.03,0.227969209591423,0.00146309662548408,0.0289275302598775
1,0.07,0.0354262312894231,2.85492431899644e-05,0.0392984029924574
1,0.1,0.0324138204061946,-4.33680868994202e-19,0.0294774849661897
1,0.15,0.0580122832377809,6.50521303491303e-19,0.0491291416103161
2,0.03,0.436387080954419,0.00326739610127919,0.0555594569075132
2,0.07,0.445109339791191,0.00068621602276958,0.076973193804776
2,0.1,0.454280187358863,0.000226448988442333,0.057930158209734
2,0.15,0.464579503343645,0.000134523333103037,0.0966403255086066
3,0.03,0.468888140436592,0.00535041137634152,0.0795410961903714
3,0.07,0.511256851857027,0.00147196395752225,0.112967302943156
3,0.1,0.53232336837916,0.000524432132205359,0.0852319408752405
3,0.15,0.598021201608579,0.000368155157970751,0.142640510633506
5,0.03,0.511770324682567,0.00961652711080043,0.118997279031345
5,0.07,0.594509354076908,0.00379862397779058,0.178977759978825
5,0.1,0.651254649020698,0.001512054169229,0.136837481377774
5,0.15,0.714871884258521,0.00126134797160348,0.228505067223498
7,0.03,0.516062077738607,0.013668539328795,0.147084249744916
7,0.07,0.598319524333438,0.00713372785033663,0.234415347341231
7,0.1,0.658066657679805,0.00314002961323755,0.182581091572195
7,0.15,0.721837273835957,0.00290777971195066,0.305728073992654
10,0.03,0.540673266846786,0.0171813991977042,0.176235746865908
10,0.07,0.633016965100182,0.0109981331374855,0.300873588047422
10,0.1,0.701662533462231,0.00530285058177329,0.241247012488454
10,0.15,0.76860904507759,0.00530733215932152,0.404923487987695
