tranche_tenor,tranche_name,pc1_abs,pc2_abs,pc3_abs,factor_concentration,factor_diversification,dominant_factor
1.0,0-3,0.00019175309555750404,0.000157609073750885,7.354029065007167e-05,0.4534215657585412,0.5465784342414588,PC1
1.0,10-15,0.0,0.0,0.0,0.0,0.0,PC1
1.0,3-7,0.00019175309555743183,0.00015760907375087036,7.354029065006667e-05,0.453421565758469,0.546578434241531,PC1
1.0,7-10,1.7080625326121314e-17,3.069388066455257e-17,1.6147293238751094e-17,0.48017860940346196,0.5198213905965381,PC2
2.0,0-3,0.0005502735861473582,0.0002332601866450312,0.000365508120513584,0.47889775764757797,0.5211022423524221,PC1
2.0,10-15,0.0003860807832886644,0.00021030909166930701,0.0005869425890620517,0.49600818612555203,0.5039918138744479,PC3
2.0,3-7,0.00028266987478273945,6.157564681415746e-05,0.0010708615697668606,0.7567353568519377,0.2432646431480623,PC3
2.0,7-10,0.00021153245166313057,0.00044019001316468974,0.0015724806643761654,0.7069860858162431,0.2930139141837569,PC3
3.0,0-3,0.001075007893543345,0.0004540370108603579,0.000772234487796612,0.4671348890477402,0.5328651109522597,PC1
3.0,10-15,0.0003563099134624107,0.0006878744258045774,0.002106340296807063,0.6685681085267839,0.33143189147321606,PC3
3.0,3-7,0.0007879609865746842,0.0009712652040340575,0.004934081171882099,0.7371663819791977,0.2628336180208023,PC3
3.0,7-10,0.00013197081535166067,0.00012868968750455543,0.0031115126839689777,0.9227025160289526,0.07729748397104741,PC3
5.0,0-3,0.00259659203989391,0.0017017941881208429,0.013383254457327916,0.7569011663279679,0.2430988336720321,PC3
5.0,10-15,0.00039920445135593896,0.0006758884523450654,0.00931189273963526,0.8964961596542952,0.10350384034570481,PC3
5.0,3-7,0.001270280662561108,0.0003581011763943043,0.007067210612822941,0.8127348023742318,0.1872651976257682,PC3
5.0,7-10,0.001022858875698314,0.0017041393623132106,0.0058576185857476,0.6823389681803645,0.31766103181963545,PC3
7.0,0-3,0.011881017868915385,0.014431666030600056,0.0057556133718054,0.4500290710322968,0.5499709289677033,PC2
7.0,10-15,0.007503155602062626,0.01432393164322563,0.013224127014791238,0.4086572161792247,0.5913427838207753,PC2
7.0,3-7,0.015886891490448727,0.02522737826223301,0.001106381470240253,0.5975127699720754,0.40248723002792464,PC2
7.0,7-10,0.009870888979713364,0.013567198248464384,0.017802171637804044,0.4316697355284711,0.5683302644715289,PC3
10.0,0-3,0.019420678684562123,0.023589961058511546,0.009408109571053615,0.45002907103229683,0.5499709289677032,PC2
10.0,10-15,0.020698082538482293,0.037373084711753254,0.027345171705147615,0.43754023139852566,0.5624597686014743,PC2
10.0,3-7,0.032764351031498246,0.05094242012106455,0.0006706745052689582,0.6037445163681151,0.3962554836318849,PC2
10.0,7-10,0.025622109979453855,0.035497212527680205,0.0359272674893584,0.370206387371848,0.629793612628152,PC3
