target_tenor,target_tranche,shocked_node_tenor,shocked_node_detachment,base_price,price_up,price_down,corr_sensitivity
1.0,0-3,1.0,0.03,-0.02746443363439337,-0.027471501183137757,-0.027457586051326515,-0.0006957565905621119
1.0,3-7,1.0,0.03,-0.039269853749267405,-0.03926278620052302,-0.03927670133233426,0.0006957565905619384
1.0,7-10,1.0,0.03,-0.029477484966189654,-0.029477484966189654,-0.029477484966189654,0.0
1.0,10-15,1.0,0.03,-0.04912914161031613,-0.04912914161031613,-0.04912914161031613,0.0
2.0,0-3,1.0,0.03,-0.052292060806399004,-0.052292060806399004,-0.052292060806399004,0.0
2.0,3-7,1.0,0.03,-0.0762869777820027,-0.0762869777820027,-0.0762869777820027,0.0
2.0,7-10,1.0,0.03,-0.057703709221323854,-0.057703709221323854,-0.057703709221323854,0.0
2.0,10-15,1.0,0.03,-0.0965058021755051,-0.0965058021755051,-0.0965058021755051,0.0
3.0,0-3,1.0,0.03,-0.07419068481402986,-0.07419068481402986,-0.07419068481402986,0.0
3.0,3-7,1.0,0.03,-0.11149533898597849,-0.11149533898597849,-0.11149533898597849,0.0
3.0,7-10,1.0,0.03,-0.08470750874305684,-0.08470750874305684,-0.08470750874305684,0.0
3.0,10-15,1.0,0.03,-0.14227235547563033,-0.14227235547563033,-0.14227235547563033,0.0
5.0,0-3,1.0,0.03,-0.10938075192133094,-0.10938075192133094,-0.10938075192133094,0.0
5.0,3-7,1.0,0.03,-0.17517913600107676,-0.17517913600107676,-0.17517913600107676,0.0
5.0,7-10,1.0,0.03,-0.13532542720855328,-0.13532542720855328,-0.13532542720855328,0.0
5.0,10-15,1.0,0.03,-0.2272437192522402,-0.2272437192522402,-0.2272437192522402,0.0
7.0,0-3,1.0,0.03,-0.13341571041612021,-0.13341571041612021,-0.13341571041612021,0.0
7.0,3-7,1.0,0.03,-0.22728161949106068,-0.22728161949106068,-0.22728161949106068,0.0
7.0,7-10,1.0,0.03,-0.17944106196418458,-0.17944106196418458,-0.17944106196418458,0.0
7.0,10-15,1.0,0.03,-0.3028202942828592,-0.3028202942828592,-0.3028202942828592,0.0
10.0,0-3,1.0,0.03,-0.15905434766820226,-0.15905434766820226,-0.15905434766820226,0.0
