tranche,hedge_T1,hedge_T2,hedge_T3,hedge_w_T1,hedge_w_T2,hedge_w_T3
10Y|0-3,7Y|0-3,5Y|0-3,3Y|0-3,-1.605247778474871,-0.020209685277527728,-0.04651112338312872
10Y|10-15,7Y|10-15,5Y|10-15,3Y|10-15,-2.604347672962854,0.6149691889640889,-0.39890295391410036
10Y|3-7,7Y|3-7,5Y|3-7,3Y|3-7,-2.0189926112888874,-0.23679966251736617,-0.06629727093008486
10Y|7-10,7Y|7-10,5Y|7-10,3Y|7-10,-2.4866613346808295,0.6028213430200028,-0.5868933280941374
1Y|0-3,2Y|0-3,3Y|0-3,5Y|0-3,-0.03155910185493116,-0.08246827598676258,-0.004161747880708166
1Y|10-15,2Y|10-15,3Y|10-15,5Y|10-15,0.0,0.0,0.0
1Y|3-7,2Y|3-7,3Y|3-7,5Y|3-7,0.017825856308836794,0.07402293258241198,0.04050717022256113
1Y|7-10,2Y|7-10,3Y|7-10,5Y|7-10,3.083361006692849e-16,6.93021442900045e-16,-1.596548159004667e-15
2Y|0-3,1Y|0-3,3Y|0-3,5Y|0-3,-0.033239055695640424,-0.1768160559662276,-0.04853280484578531
2Y|10-15,1Y|10-15,3Y|10-15,5Y|10-15,0.0,-0.12349235686475477,0.048045320231904845
2Y|3-7,1Y|3-7,3Y|3-7,5Y|3-7,0.01836567485735145,-0.16163226283800566,0.02016669421914187
2Y|7-10,1Y|7-10,3Y|7-10,5Y|7-10,3.6040526414134654e-16,-0.15336894314299754,0.028829459460804337
3Y|0-3,2Y|0-3,1Y|0-3,5Y|0-3,-0.2904829661478125,-0.14269538557946979,0.006269301690446049
3Y|10-15,2Y|10-15,1Y|10-15,5Y|10-15,-0.1405562053163901,0.0,0.22763954997938757
3Y|3-7,2Y|3-7,5Y|3-7,1Y|3-7,-0.4720239905476408,0.42946620934469903,0.22271978345261464
3Y|7-10,2Y|7-10,5Y|7-10,1Y|7-10,-0.16174009760328997,0.31228501298264605,8.542671341214359e-16
5Y|0-3,3Y|0-3,7Y|0-3,2Y|0-3,0.31641505813094095,-0.18219442657229365,-0.5759341294929955
5Y|10-15,3Y|10-15,7Y|10-15,2Y|10-15,0.7940743909648548,-0.18486053708683808,0.2795294041499841
5Y|3-7,3Y|3-7,7Y|3-7,2Y|3-7,0.5694226113944795,-0.03578401417348788,0.110902065805147
5Y|7-10,3Y|7-10,7Y|7-10,2Y|7-10,0.8407630130729823,-0.09589241553582442,0.011674264372942647
7Y|0-3,5Y|0-3,10Y|0-3,3Y|0-3,-0.004679875297507448,-0.6076137061507015,-0.010770393224363734
7Y|10-15,5Y|10-15,10Y|10-15,3Y|10-15,-0.2777896824085714,-0.3708250555365598,0.15934584211545694
7Y|3-7,5Y|3-7,10Y|3-7,3Y|3-7,0.1049385927622137,-0.4908611203707166,0.02296040722149431
7Y|7-10,5Y|7-10,10Y|7-10,3Y|7-10,-0.2747893131962482,-0.39137728691730417,0.2648079921147528
