tranche,scenario,pnl_unhedged
10Y|0-3,PC1_up_1sigma,-0.06081152015655725
10Y|0-3,PC1_dn_1sigma,0.06081152015655725
10Y|0-3,PC2_up_1sigma,0.04593272849875445
10Y|0-3,PC2_dn_1sigma,-0.04593272849875445
10Y|0-3,PC3_up_1sigma,0.014450242074934993
10Y|0-3,PC3_dn_1sigma,-0.014450242074934993
10Y|0-3,PC1_up_PC2_up,-0.014878791657802797
10Y|0-3,PC1_up_PC3_up,-0.046361278081622256
10Y|0-3,PC2_up_PC3_up,0.060382970573689444
10Y|0-3,PC1_dn_PC2_dn,0.014878791657802797
10Y|10-15,PC1_up_1sigma,-0.0648114251790566
10Y|10-15,PC1_dn_1sigma,0.0648114251790566
10Y|10-15,PC2_up_1sigma,0.07277026651158995
10Y|10-15,PC2_dn_1sigma,-0.07277026651158995
10Y|10-15,PC3_up_1sigma,0.04200039845792252
10Y|10-15,PC3_dn_1sigma,-0.04200039845792252
10Y|10-15,PC1_up_PC2_up,0.007958841332533353
10Y|10-15,PC1_up_PC3_up,-0.022811026721134078
10Y|10-15,PC2_up_PC3_up,0.11477066496951246
10Y|10-15,PC1_dn_PC2_dn,-0.007958841332533353
10Y|3-7,PC1_up_1sigma,-0.10259425149504736
10Y|3-7,PC1_dn_1sigma,0.10259425149504736
10Y|3-7,PC2_up_1sigma,0.0991915309519374
10Y|3-7,PC2_dn_1sigma,-0.0991915309519374
10Y|3-7,PC3_up_1sigma,-0.0010301122538411871
10Y|3-7,PC3_dn_1sigma,0.0010301122538411871
10Y|3-7,PC1_up_PC2_up,-0.00340272054310996
10Y|3-7,PC1_up_PC3_up,-0.10362436374888855
10Y|3-7,PC2_up_PC3_up,0.09816141869809622
10Y|3-7,PC1_dn_PC2_dn,0.00340272054310996
10Y|7-10,PC1_up_1sigma,-0.0802299179537769
10Y|7-10,PC1_dn_1sigma,0.0802299179537769
10Y|7-10,PC2_up_1sigma,0.06911769889964377
10Y|7-10,PC2_dn_1sigma,-0.06911769889964377
10Y|7-10,PC3_up_1sigma,-0.055181937284137214
10Y|7-10,PC3_dn_1sigma,0.055181937284137214
10Y|7-10,PC1_up_PC2_up,-0.011112219054133133
10Y|7-10,PC1_up_PC3_up,-0.1354118552379141
10Y|7-10,PC2_up_PC3_up,0.013935761615506555
10Y|7-10,PC1_dn_PC2_dn,0.011112219054133133
1Y|0-3,PC1_up_1sigma,-0.0006004320150174035
1Y|0-3,PC1_dn_1sigma,0.0006004320150174035
1Y|0-3,PC2_up_1sigma,-0.0003068854067024247
1Y|0-3,PC2_dn_1sigma,0.0003068854067024247
1Y|0-3,PC3_up_1sigma,-0.00011295308522173245
1Y|0-3,PC3_dn_1sigma,0.00011295308522173245
1Y|0-3,PC1_up_PC2_up,-0.0009073174217198282
1Y|0-3,PC1_up_PC3_up,-0.000713385100239136
1Y|0-3,PC2_up_PC3_up,-0.00041983849192415713
1Y|0-3,PC1_dn_PC2_dn,0.0009073174217198282
1Y|10-15,PC1_up_1sigma,0.0
1Y|10-15,PC1_dn_1sigma,0.0
1Y|10-15,PC2_up_1sigma,0.0
1Y|10-15,PC2_dn_1sigma,0.0
1Y|10-15,PC3_up_1sigma,0.0
1Y|10-15,PC3_dn_1sigma,0.0
1Y|10-15,PC1_up_PC2_up,0.0
1Y|10-15,PC1_up_PC3_up,0.0
1Y|10-15,PC2_up_PC3_up,0.0
1Y|10-15,PC1_dn_PC2_dn,0.0
1Y|3-7,PC1_up_1sigma,0.0006004320150170904
1Y|3-7,PC1_dn_1sigma,-0.0006004320150170904
1Y|3-7,PC2_up_1sigma,0.0003068854067024247
1Y|3-7,PC2_dn_1sigma,-0.0003068854067024247
1Y|3-7,PC3_up_1sigma,0.00011295308522172477
1Y|3-7,PC3_dn_1sigma,-0.00011295308522172477
1Y|3-7,PC1_up_PC2_up,0.000907317421719515
1Y|3-7,PC1_up_PC3_up,0.0007133851002388152
1Y|3-7,PC2_up_PC3_up,0.00041983849192414943
1Y|3-7,PC1_dn_PC2_dn,-0.000907317421719515
1Y|7-10,PC1_up_1sigma,5.348416541857065e-17
1Y|7-10,PC1_dn_1sigma,-5.348416541857065e-17
1Y|7-10,PC2_up_1sigma,-5.97649857768363e-17
1Y|7-10,PC2_dn_1sigma,5.97649857768363e-17
1Y|7-10,PC3_up_1sigma,-2.480118820818366e-17
1Y|7-10,PC3_dn_1sigma,2.480118820818366e-17
1Y|7-10,PC1_up_PC2_up,-6.280820358265652e-18
1Y|7-10,PC1_up_PC3_up,2.8682977210386986e-17
1Y|7-10,PC2_up_PC3_up,-8.456617398501995e-17
1Y|7-10,PC1_dn_PC2_dn,6.280820358265652e-18
2Y|0-3,PC1_up_1sigma,-0.0017230589012431363
2Y|0-3,PC1_dn_1sigma,0.0017230589012431363
2Y|0-3,PC2_up_1sigma,-0.00045418798259812097
2Y|0-3,PC2_dn_1sigma,0.00045418798259812097
2Y|0-3,PC3_up_1sigma,0.0005613966102207184
2Y|0-3,PC3_dn_1sigma,-0.0005613966102207184
2Y|0-3,PC1_up_PC2_up,-0.0021772468838412574
2Y|0-3,PC1_up_PC3_up,-0.001161662291022418
2Y|0-3,PC2_up_PC3_up,0.00010720862762259737
2Y|0-3,PC1_dn_PC2_dn,0.0021772468838412574
2Y|10-15,PC1_up_1sigma,-0.0012089257907179826
2Y|10-15,PC1_dn_1sigma,0.0012089257907179826
2Y|10-15,PC2_up_1sigma,-0.00040949920962163544
2Y|10-15,PC2_dn_1sigma,0.00040949920962163544
2Y|10-15,PC3_up_1sigma,-0.0009015054971436908
2Y|10-15,PC3_dn_1sigma,0.0009015054971436908
2Y|10-15,PC1_up_PC2_up,-0.001618425000339618
2Y|10-15,PC1_up_PC3_up,-0.0021104312878616736
2Y|10-15,PC2_up_PC3_up,-0.0013110047067653263
2Y|10-15,PC1_dn_PC2_dn,0.001618425000339618
2Y|3-7,PC1_up_1sigma,-0.0008851176144355876
2Y|3-7,PC1_dn_1sigma,0.0008851176144355876
