Date,Tenor,Index_Bid,Index_Ask,Index_Last,Index_Mid,Equity_0_3_Spread,Equity_0_3_Upfront,Mezz_3_7_Spread,Mezz_3_7_Upfront,Mezz_7_10_Spread,Senior_10_15_Spread,SuperSenior_15_100_Spread,Index_0_100_Spread
2024-11-19,1Y,16.2,16.7,16.34,16.45,537.59,4.555922,55.02,-0.482809,22.4,5.73,4.79,22.92
2024-11-19,2Y,24.6,25.1,24.58,24.85,632.28,10.188453,96.57,-0.069209,43.21,15.8,8.57,31.22
2024-11-19,3Y,33.97,34.42,34.6906,34.195,722,16.715798,141.41,1.208271,67.73,28.95,13.26,40.25
2024-11-19,5Y,54.55,54.87,54.8686,54.709999999999994,864.68,30.086765,231.14,5.954627,121.82,61.47,24.14,58.47
2024-11-19,7Y,72.25,75.89,74.844,74.07,991.24,42.863432,328.37,13.4656,187.55,104.79,40.28,81.27
2024-11-19,10Y,93.47,93.72,93.7609,93.595,"1,036.23",52.836136,391.65,21.756998,237.59,142.85,56.06,98.71
2024-11-20,1Y,16.08,16.58,16.33,16.33,543.01,4.599248,55.48,-0.476659,22.37,6.68,4.11,22.56
2024-11-20,2Y,24.41,24.91,24.6,24.66,639.31,10.302443,97.78,-0.044805,43.28,16.94,7.53,30.64
2024-11-20,3Y,33.177,34.968,34.068,34.072500000000005,732.36,16.957286,144.16,1.286625,68.42,30.46,11.92,39.57
2024-11-20,5Y,54.63,55.038,54.825,54.834,880.98,30.623924,237.64,6.239211,124.51,64.2,22.4,57.79
2024-11-20,7Y,72.29,75.95,73.423,74.12,1084.5,46.070654,405.68,17.651617,224.32,139.2,42.82,90.62
2024-11-20,10Y,93.33,93.85,93.55,93.59,1057.09,53.586582,403.49,22.535579,244.35,148.52,53.28,97.42
2024-11-21,1Y,16.42,16.92,16.67,16.67,547.01,4.629307,56.94,-0.459881,23.13,5.34,5.37,23.74
2024-11-21,2Y,24.96,25.46,25.21,25.21,637.14,10.251239,97.64,-0.047474,43.98,15.44,9.38,32.09
2024-11-21,3Y,33.806,34.902,34.351,34.354,724.64,16.753421,142.11,1.226718,68.47,28.57,14.32,41.25
2024-11-21,5Y,54.446,54.885,54.665,54.665499999999994,867.85,30.156523,232.13,5.994775,122.72,61.51,25.21,59.51
2024-11-21,7Y,72.613,75.252,73.929,73.9325,985.66,42.62735,324.95,13.271915,186.04,103.08,41.96,82.36
2024-11-21,10Y,93.597,94.092,93.83,93.8445,"1,028.68",52.545152,386.57,21.421351,234.78,140.25,57.85,99.79
2024-11-24,1Y,16.1,16.6,16.35,16.35,535.39,4.481228,55.68,-0.469969,22.49,6.15,4.57,22.73
2024-11-24,2Y,24.46,24.96,24.71,24.71,627.19,10.040622,96.94,-0.061427,43.09,16.19,8.21,30.81
2024-11-24,3Y,32.121,33.222,32.672,32.6715,721.49,16.661083,143.29,1.258673,68.33,29.77,12.89,40.07
2024-11-24,5Y,52.711,53.397,53.054,53.054,690.14,24.047425,214.63,5.215298,56.68,46.97,11.62,53.94
2024-11-24,7Y,70.613,73.252,71.934,71.9325,986.86,42.73435,329.51,13.534836,187.84,105.66,39.38,80.51
2024-11-24,10Y,92.012,92.438,92.238,92.225,"1,030.68",52.709812,392.04,21.812705,237.5,143.49,54.9,97.65
2024-11-25,1Y,15.55,16.05,15.920 ,15.8,522.27,4.338701,,-0.485994,,,4.7,22.34
2024-11-25,2Y,23.71,24.21,24.080  ,23.96,614.65,9.802392,,-0.107732,,,8.41,30.47
