Date,Company,Recovery,Spread_5Y,Spread_7Y,Spread_10Y
2024-11-19,Advanced Micro D,500.0,44.53,68.79,82.19
2024-11-19,Honeywell Intern,100.0,26.16,39.47,52.03
2024-11-19,Barrick Mining C,100.0,39.25,58.04,77.05
2024-11-19,American Electri,100.0,33.31,49.46,65.15
2024-11-19,American Expres,100.0,32.29,46.57,58.31
2024-11-19,American Interna,100.0,62.37,90.59,109.19
2024-11-19,Arrow Electronic,100.0,84.38,109.79,129.83
2024-11-19,AutoZone Inc,100.0,37.48,52.78,69.73
2024-11-19,Avnet Inc,100.0,94.53,127.0,151.45
2024-11-19,Baxter Internatio,100.0,86.56,112.97,129.42
2024-11-19,Verizon Commun,100.0,61.07,82.29,104.44
2024-11-19,Best Buy Co Inc,500.0,68.39,93.61,118.58
2024-11-19,Boeing Co/The,100.0,69.52,88.9,103.75
2024-11-19,Boston Scientific,100.0,33.05,51.05,64.6
2024-11-19,Bristol-Myers Sq,100.0,37.26,53.35,68.42
2024-11-19,Campbell's Comp,100.0,58.56,83.05,101.09
2024-11-19,Caterpillar Inc,100.0,28.94,44.7,59.91
2024-11-19,Conagra Brands,100.0,86.29,114.06,133.92
2024-11-19,CSX Corp,100.0,23.49,37.21,50.06
2024-11-19,Danaher Corp,100.0,30.52,51.03,67.92
2024-11-19,Target Corp,100.0,52.48,68.42,81.95
2024-11-19,Deere & Co,100.0,35.08,52.08,70.95
2024-11-19,Dominion Energy,100.0,41.09,60.71,74.57
2024-11-19,Dow Chemical Co,100.0,103.26,138.08,162.03
2024-11-19,FedEx Corp,100.0,56.84,80.78,100.11
2024-11-19,Ford Motor Co,500.0,169.28,212.55,240.53
2024-11-19,Freeport-McMoRa,100.0,80.42,112.3,136.44
2024-11-19,General Electric,100.0,31.9,55.19,75.83
2024-11-19,General Mills Inc,100.0,50.68,68.22,85.18
2024-11-19,Halliburton Co,100.0,63.85,87.72,106.47
2024-11-19,Kraft Heinz Food,100.0,55.89,85.45,107.09
2024-11-19,HP Inc,100.0,79.01,103.43,132.0
2024-11-19,Home Depot Inc/,100.0,31.74,45.58,61.08
2024-11-19,International Bu,100.0,48.23,64.75,78.9
2024-11-19,International Pa,100.0,71.11,95.02,105.74
2024-11-19,Johnson & Johns,100.0,23.8,38.28,56.35
2024-11-19,Kroger Co/The,100.0,42.74,62.62,77.81
2024-11-19,Lennar Corp,500.0,88.06,126.53,148.36
2024-11-19,Lincoln National,100.0,123.88,162.05,186.84
2024-11-19,Lowe's Cos Inc,100.0,40.42,57.6,75.77
2024-11-19,McDonald's Corp,100.0,28.71,39.63,51.97
2024-11-19,Sekisui House US,100.0,70.84,105.3,141.35
2024-11-19,CVS Health Corp,100.0,55.41,81.95,103.38
2024-11-19,Motorola Solution,100.0,44.62,61.82,81.29
2024-11-19,Newmont Corp,100.0,41.5,60.61,82.07
2024-11-19,Norfolk Southern,100.0,24.77,37.94,52.51
2024-11-19,Northrop Grumm,100.0,27.52,41.46,54.74
2024-11-19,Occidental Petro,100.0,98.28,128.54,152.04
2024-11-19,Omnicom Group,100.0,52.53,68.94,86.96
2024-11-19,Pfizer Inc,100.0,37.16,60.08,85.6
2024-11-19,Exelon Corp,100.0,33.97,49.68,66.09
2024-11-19,Altria Group Inc,100.0,43.77,66.06,84.47
2024-11-19,ConocoPhillips,100.0,42.77,62.99,79.85
2024-11-19,PulteGroup Inc,500.0,79.79,113.42,138.88
2024-11-19,PNC Financial Se,100.0,57.63,75.89,89.19
2024-11-19,Procter & Gambl,100.0,26.9,37.68,49.27
2024-11-19,Ryder System In,100.0,67.05,94.5,116.44
2024-11-19,Sherwin-Williams,100.0,50.55,73.72,90.75
2024-11-19,Southern Co/The,100.0,40.41,59.51,75.92
2024-11-19,Southwest Airline,100.0,121.39,155.38,176.8
2024-11-19,AT&T Inc,100.0,65.25,88.03,104.64
2024-11-19,Toll Brothers Inc,100.0,90.23,128.48,159.02
2024-11-19,Johnson Controls,100.0,38.93,54.38,65.34
2024-11-19,Union Pacific Cor,100.0,26.82,39.29,52.57
2024-11-19,UnitedHealth Gro,100.0,46.82,68.0,85.37
2024-11-19,RTX Corp,100.0,39.69,55.04,69.56
2024-11-19,Walmart Inc,100.0,27.64,39.8,50.48
2024-11-19,Weyerhaeuser Co,100.0,34.16,49.53,66.82
2024-11-19,Williams Cos Inc,100.0,54.62,81.5,101.85
2024-11-19,AES Corp/The,500.0,116.75,158.21,178.27
2024-11-19,Amgen Inc,100.0,36.98,55.73,74.72
2024-11-19,Cisco Systems In,100.0,33.68,46.32,58.39
2024-11-19,Comcast Corp,100.0,62.91,80.37,100.88
2024-11-19,Dell Inc,100.0,76.63,106.63,127.01
2024-11-19,Intel Corp,100.0,74.96,93.42,108.41
2024-11-19,Oracle Corp,100.0,111.11,137.3,163.15
2024-11-19,Tyson Foods Inc,100.0,50.46,70.12,88.51
2024-11-19,Cardinal Health I,100.0,37.13,58.46,75.69
2024-11-19,DR Horton Inc,100.0,60.59,83.02,100.8
2024-11-19,Paramount Globa,100.0,148.36,187.3,207.15
2024-11-19,Canadian Natura,100.0,68.93,101.83,131.77
2024-11-19,Enbridge Inc,100.0,64.04,92.19,113.51
2024-11-19,Teck Resources,500.0,50.3,79.32,100.5
2024-11-19,Radian Group Inc,500.0,99.6,128.99,151.3
2024-11-19,Royal Caribbean,500.0,93.4,129.31,149.64
2024-11-19,Allstate Corp/Th,100.0,31.65,44.51,55.16
2024-11-19,BorgWarner Inc,100.0,58.39,85.51,107.52
2024-11-19,Eastman Chemica,100.0,100.25,131.18,150.59
2024-11-19,Prudential Finan,100.0,67.43,93.59,113.56
2024-11-19,United Parcel Se,100.0,34.93,51.01,64.63
2024-11-19,McKesson Corp,100.0,37.51,62.02,82.06
2024-11-19,Lockheed Martin,100.0,27.39,40.74,54.63
2024-11-19,Capital One Finan,100.0,82.46,108.32,132.18
2024-11-19,Ally Financial Inc,500.0,161.7,202.46,228.66
2024-11-19,Cox Communicat,100.0,58.28,77.62,97.89
2024-11-19,National Rural U,100.0,23.52,42.62,55.01
2024-11-19,Darden Restaura,100.0,53.45,74.46,94.72
2024-11-19,Quest Diagnostic,100.0,33.8,48.75,63.38
2024-11-19,NextEra Energy C,100.0,65.25,97.25,117.85
2024-11-19,Amazon.com Inc,100.0,41.27,55.72,67.75
2024-11-19,Block Financial L,500.0,71.49,104.64,130.64
2024-11-19,Valero Energy Co,100.0,53.99,83.83,105.65
2024-11-19,T-Mobile USA Inc,500.0,52.71,71.84,91.31
2024-11-19,FirstEnergy Corp,100.0,48.2,69.55,84.8
2024-11-19,Host Hotels & Re,100.0,84.89,122.15,146.61
